Color name  RGB HEX
Maroon	(128,0,0)	#800000
DarkRed	(139,0,0)	#8B0000
Fire Brick	(178,34,34)	#22222
Red	(255,0,0)	#FF0000
Salmon	(250,128,114)	#FA8072
Tomato	(255,99,71)	#FF6347
Coral	(255,127,80)	#FF7F50
OrangeRed	(255,69,0)	#FF4500
Chocolate	(210,105,30)	#D2691E
Sandy Brown	(244,164,96)	#F4A460
Dark Orange	(255,140,0)	#FF8C00
Orange	(255,165,0)	#FFA500
DarkGoldenrod	(184,134,11)	#B8860B
Goldenrod	(218,165,32)	#DAA520
Gold	(255,215,0)	#FFD700
Olive	(128,128,0)	#808000
Yellow	(255,255,0)	#FFFF00
Yellow Green	(154,205,50)	#9ACD32
Green Yellow	(173,255,47)	#ADFF2F
Chartreuse	(127,255,0)	#7FFF00
Lawn Green	(124,252,0)	#7CFC00
Green	(0,128,0)	#008000
Lime	(0,255,0)	#00FF00
Lime Green	(50,205,50)	#32CD32
Spring Green	(0,255,127)	#00FF7F
Medium Spring Green	(0,250,154)	#00FA9A
Turquoise	(64,224,208)	#40E0D0
LightSeaGreen	(32,178,70)	#20B2AA
MediumTurquoise	(72,209,204)	#48D1CC
Dark Cyan	(0,139,139)	#008B8B
Aqua	(0,255,255)	#00FFFF
Dark Turquoise	(0,206,209)	#00CED1
Deep Sky Blue	(0,191,255)	#00BFFF
Dodger Blue	(30,144,255)	#1E90FF
Royal Blue	(65,105,225)	#4169E1
Navy	(0,0,128)	#000080
Dark Blue	(0,0,139)	#00008B
Medium Blue	(0,0,205)	#0000CD
Blue	(0,0,255)	#0000FF
Blue Violet	(138,43,226)	#8A2BE2
Dark Orchid	(153,50,204)	#9932CC
Dark Violet	(148,0,211)	#9400D3
Purple	(128,0,128)	#800080
Dark Magenta	(139,0,139)	#8B008B
Magenta	(255,0,255)	#FF00FF
Medium Violet Red	(199,21,133)	#C71585
Deep Pink	(255,20,147)	#FF1493
Hot Pink	(255,105,80)	#FF69B4
Crimson	(220,20,60)	#DC143C
Brown	(165,42,42)	#A52A2A
Indian Red	(205,92,92)	#CD5C5C
Rosy Brown	(188,143,143)	#BC8F8F
Light Coral	(240,128,128)	#F08080
Snow	(255,250,250)	#FFFAFA
Misty Rose	(255,228,225)	#FFE4E1
Dark Salmon	(233,150,122)	#E9967A
Light Salmon	(255,160,122)	#FFA07A
Sienna	(160,82,45)	#A0522D
Sea Shell	(255,245,238)	#FFF5EE
Saddle Brown	(139,69,19)	#8B4513
Peachpuff	(255,218,185)	#FFDAB9
Peru	(205,133,63)	#CD853F
Linen	(250,240,230)	#FAF0E6
Bisque	(255,228,196)	#FFE4C4
Burlywood	(222,184,135)	#DEB887
Tan	(210,180,140)	#D2B48C
Antique White	(255,235,215)	#FAEBD7
Navajo White	(255,222,173)	#FFDEAD
Blanched Almond	(255,235,205)	#FFEBCD
Papaya Whip	(255,239,213)	#FFEFD5
Moccasin	(255,228,181)	#FFE4B5
Wheat	(245,222,179)	#F5DEB3
